orig,dest,fij
92,75,214750
93,75,186731
94,75,177774
75,92,154120
78,92,105011
95,75,93721
77,75,91876
78,75,91012
91,75,87054
62,59,81074
95,92,72591
75,93,61744
38,69,57292
94,92,55221
91,94,54853
93,92,53015
77,93,50426
95,93,46589
91,92,45109
01,69,44938
75,94,43115
77,94,42999
92,78,38761
94,93,38753
59,62,36726
60,95,35514
93,94,33786
93,95,31945
92,93,31207
27,76,28955
92,94,27179
77,91,26648
83,13,25106
95,78,23686
42,69,23524
77,92,23399
07,26,23124
54,57,22523
28,78,21760
78,95,20697
60,75,20663
93,77,20619
91,78,20187
94,91,19858
92,91,19202
75,78,19093
84,13,17350
94,77,17139
77,95,16384
69,38,15438
75,91,15158
81,31,15085
30,34,14993
91,77,14958
69,01,14928
92,95,14901
75,95,14870
76,27,14857
82,31,14747
78,91,14586
30,84,14559
49,44,14552
40,64,14358
60,93,14138
13,84,13805
70,25,13289
78,93,12902
57,54,12319
22,35,12253
27,78,12229
85,44,12183
91,93,11935
26,07,11095
43,42,10903
67,68,10321
78,94,10217
34,30,10051
83,06,9748
73,74,9652
57,67,9643
01,71,9588
30,13,9584
95,94,9411
44,85,9213
75,77,9137
38,73,8942
44,49,8847
02,51,8500
32,31,8330
90,25,8311
68,67,8179
69,42,7880
56,35,7872
64,40,7842
73,38,7778
28,75,7679
60,92,7626
94,78,7535
29,56,7509
94,95,7472
71,21,7331
72,61,7247
41,45,7111
08,51,7068
93,78,6967
35,22,6798
02,60,6790
27,75,6602
80,60,6506
17,16,6192
50,14,6081
88,54,5980
70,90,5790
25,90,5767
24,33,5666
95,60,5636
93,91,5625
56,29,5624
44,35,5580
26,38,5575
13,83,5466
39,25,5453
45,75,5434
56,44,5429
89,77,5361
38,01,5351
03,63,5331
27,95,5319
55,54,5307
45,91,5249
09,31,5245
63,03,5199
14,50,5186
85,49,5111
60,77,5097
40,33,5093
84,26,5033
67,57,4989
18,58,4974
95,77,4954
27,28,4938
84,30,4897
02,75,4837
71,69,4790
26,84,4762
62,80,4737
35,56,4698
61,14,4689
60,80,4658
38,26,4623
37,41,4583
49,85,4571
27,14,4536
59,75,4517
80,76,4506
41,37,4448
22,29,4406
74,73,4398
54,88,4391
28,91,4383
35,53,4341
31,82,4331
85,79,4302
14,61,4295
02,77,4285
53,35,4255
76,80,4253
31,81,4249
64,65,4240
71,01,4166
56,22,4110
27,92,4022
76,75,4018
28,92,4009
04,13,4001
91,95,3947
45,77,3946
79,49,3861
11,34,3791
25,70,3783
35,44,3720
11,31,3712
59,02,3700
21,71,3637
90,68,3619
42,38,3599
86,79,3546
92,77,3502
17,79,3466
77,78,3423
31,09,3376
79,85,3370
17,33,3356
65,64,3356
02,59,3345
34,11,3340
80,62,3315
39,01,3309
33,24,3241
71,39,3236
02,80,3208
49,72,3205
01,38,3191
13,30,3177
89,75,3175
79,86,3148
26,69,3127
61,28,2968
31,32,2940
69,71,2929
61,72,2908
45,41,2884
95,91,2882
53,72,2856
22,56,2824
47,33,2812
43,63,2797
86,37,2782
72,49,2758
28,45,2744
51,10,2737
39,21,2704
42,43,2662
16,17,2636
55,52,2635
14,76,2634
69,75,2612
54,55,2568
01,74,2561
37,86,2540
62,75,2537
51,02,2523
49,53,2519
60,02,2508
35,50,2445
30,26,2427
07,38,2415
13,75,2384
37,75,2376
78,28,2368
06,83,2366
60,78,2362
80,75,2358
33,47,2356
85,17,2353
29,22,2348
74,01,2331
76,60,2316
65,31,2307
33,75,2281
71,42,2272
25,39,2239
80,02,2218
49,79,2203
36,18,2202
18,36,2200
02,93,2192
24,19,2182
28,27,2181
79,17,2173
68,90,2123
49,37,2122
51,52,2120
44,56,2107
50,35,2087
53,49,2087
01,73,2066
53,61,2021
60,94,2017
72,53,2004
63,43,1990
44,75,1939
07,69,1915
51,75,1907
12,46,1897
82,47,1891
14,27,1879
77,45,1865
10,77,1859
14,75,1843
78,27,1824
45,92,1809
72,75,1808
76,92,1797
59,92,1774
58,18,1771
18,45,1764
78,77,1763
19,46,1736
55,57,1722
51,08,1721
33,40,1706
46,19,1698
87,23,1693
31,65,1688
80,59,1668
10,51,1663
60,76,1651
21,39,1647
73,69,1647
32,40,1638
45,28,1629
03,71,1616
02,95,1614
16,87,1609
19,87,1607
77,60,1604
51,77,1587
33,17,1582
10,89,1579
73,01,1576
34,13,1568
88,68,1565
35,75,1564
11,66,1557
19,24,1554
45,94,1548
60,27,1547
88,67,1530
69,92,1503
90,70,1495
46,12,1485
72,37,1469
61,27,1466
04,05,1425
10,75,1406
37,49,1403
87,19,1382
75,60,1382
45,18,1375
38,74,1355
66,11,1346
59,80,1325
23,87,1315
27,60,1298
31,75,1290
34,75,1281
01,39,1280
76,14,1274
65,32,1273
21,89,1271
05,04,1262
42,07,1262
27,61,1252
38,42,1248
52,55,1245
31,11,1244
42,71,1243
83,04,1239
39,71,1233
41,18,1228
32,65,1228
76,78,1225
64,33,1224
15,19,1223
47,24,1223
28,94,1213
45,89,1209
36,41,1208
77,89,1199
81,12,1186
24,87,1180
33,92,1174
93,60,1172
47,82,1164
61,53,1163
07,30,1157
40,32,1157
16,86,1150
41,75,1149
24,16,1147
44,92,1142
69,26,1141
83,75,1140
37,45,1139
29,35,1129
59,93,1128
41,28,1107
27,93,1105
07,42,1094
89,21,1089
87,16,1082
52,10,1077
37,72,1075
89,45,1072
24,47,1065
02,92,1064
06,13,1063
70,21,1059
58,03,1056
72,28,1056
38,07,1053
70,88,1052
41,36,1049
17,85,1049
49,75,1039
72,41,1022
52,21,1014
86,16,1013
52,51,1006
13,04,1003
67,75,1003
91,45,1000
06,75,1000
32,47,994
18,41,993
74,69,989
57,75,987
13,92,976
21,75,974
55,51,957
21,25,955
56,75,948
36,37,941
13,69,937
37,92,937
33,31,926
03,18,920
58,89,911
35,92,911
68,25,909
82,46,906
89,94,906
37,36,902
81,82,898
75,59,889
80,92,884
86,49,880
88,70,880
89,10,878
76,95,877
29,75,875
51,55,874
62,92,874
63,42,869
71,03,867
54,67,863
